tokid	cws
vernielen/hart038besc01_01.meta/189136	voorneemen;goedheid;negers
vernielt/vrie047wond01_01.meta/14002	
vernietigt/post003rein01_01.meta/144828	natuur;geluk;harten
vernielt/coor001ladd02_01.meta/26939	lichtelijck
vernietigd/feit007brie06_01.meta/35773	job;beschrijving;eenigzins;waare
vernietigd/vond001dewe01_01.meta/55085	lag;trouw;leed
vernietigt/vond001dewe10_01.meta/32900	snel
vernietigt/duij002leve01_01.meta/43743	gemaeckt;veertien
vernielen/swaa003kodd01_01.meta/111620	held
verniele/vond001dewe09_01.meta/69369	
vernielen/mart021klei01_01.meta/25008	boomen;klederen
vernielde/grie002droe01_01.meta/43437	alles;stucken
vernietigt/mart021kate01_01.meta/216298	keten;ééne;uitmuntende;wys;zyner;schepselen;naamelyk
vernielen/coor001oors02_01.meta/76235	etc
vernielen/nass008gesc01_01.meta/18799	hiervan;blanken
vernietigd/stij003opko01_01.meta/90128	wet
vernietigen/wolf016will04_01.meta/52462	gewigt;droefheid;zyner
vernietigt/rust001scho01_01.meta/9793	teeken;lieden
vernielen/ferm001nieu01_01.meta/36520	
vernielt/viss004sinn01_01.meta/18976	
vernielen/sucq002wech01_01.meta/54211	desen;noode;geschapen
vernielen/swaa003herb01_01.meta/51536	
vernietigen/vond001dewe09_01.meta/395457	rijk;eeuwig;45
vernielt/coor001vree01_01.meta/18924	plat;werpt;sulcke;selve
vernield/vond001dewe01_01.meta/85592	gewas
vernietigen/stij003opko01_01.meta/21029	eener;geluk
vernielen/mart021kate01_01.meta/227218	bederven;hout;wormen;boomen
vernietigt/effe001holl05_01.meta/83383	nuttige;onderwerpen
vernielt/sucq002wech01_01.meta/123042	dese
vernielen/vond001dewe06_01.meta/295134	slagh;houwen;vernielen
vernietigd/_den001denk11_01.meta/71387	dood;jupyn;roem;hunnen
vernielt/coor001godt02_01.meta/23018	ps;haten
vernielen/coor001toet02_01.meta/22183	selven;doot;vyanden
vernielen/vond001dewe08_01.meta/16939	strant;gereet
vernietigt/weye002amst01_01.meta/168510	onlangs
vernielt/wolf016corn02_01.meta/50202	alles;overeenstemming;gegrond
vernield/post003rein01_01.meta/217037	
vernielen/coor001toet02_01.meta/46865	dese;christi
vernielen/post003land01_01.meta/74043	alles;oorlogen;duizend;veranderingen;ongelukkigen
vernietigd/kist001leve01_01.meta/2397	geheel
vernielen/mart021kate01_01.meta/143204	hol
vernielen/coor001dato02_01.meta/8953	dooden;omme
vernielde/post003rein01_01.meta/217280	vond;goeds
vernield/vond001dewe06_01.meta/586692	wachten;schepen
vernielen/coor001ladd02_01.meta/19462	t
vernielen/hard001godd02_01.meta/123682	vielen
vernietigt/lair001groo01_01.meta/174090	bedrog;ontdekt;oogmerk
vernietigen/vond001dewe07_01.meta/228295	gramschap
vernielen/sude003godl01_01.meta/13942	alles;groeit
vernielen/mart021kate01_01.meta/181003	verpligting;insecten;vlugt;vogelen
vernietigd/vond001dewe10_01.meta/169708	spoedig
vernielen/hard001godd02_01.meta/115381	lesten
vernield/feit007brie05_01.meta/21432	
vernield/post003rein01_01.meta/44508	ontdekte;vaten;schip
vernielen/ferm001nieu01_01.meta/146691	
vernietigd/post003rein01_01.meta/215968	wormen;regen
vernietigt/post003rein01_01.meta/15717	gevoel;zalig;vreeze
vernietigen/wolf016corn06_01.meta/45133	beeld;overtuigd
vernielen/meer017gees01_01.meta/14325	turksche
vernietigde/stij003opko01_01.meta/4992	onderscheid;plan;ryken
vernielen/hard001godd02_01.meta/60777	dese
vernielt/vond001dewe07_01.meta/237165	maght
vernielen/swaa003herb01_01.meta/151135	
vernietigt/vond001dewe05_01.meta/214901	macht
vernielen/vond001dewe06_01.meta/197029	
vernielen/coor001toet02_01.meta/19079	du
vernielen/herl001besc01_01.meta/64502	
vernietigd/post003rein01_01.meta/218918	geheele;zonder;regen;bevel
vernielden/mart021kate01_01.meta/164573	gras;schepen
vernielen/woen003aant01_01.meta/133860	
vernield/hart038besc01_01.meta/161433	verwoest;plantagie;beweegen
vernielen/hart038besc01_01.meta/331117	vervolgen
vernielt/brun001embl02_01.meta/16810	
vernielen/swaa003herb01_01.meta/169412	alles
vernietigen/feit007brie04_01.meta/15536	bepaalen
vernyelen/coor001vand08_01.meta/15699	
vernielen/vond001dewe06_01.meta/295144	slagh;houwen;vernielen
vernielen/over001gees02_01.meta/42277	alles;last
vernielen/_den001denk01_01.meta/18036	bewaaren;wreede;zoekt
vernietigen/post003rein01_01.meta/216535	geheele;draagen;tegenwoordige;hoopen
vernielen/coor001datt02_01.meta/2566	sulcken;verlaten;quaden
vernietigd/kist001leve01_01.meta/116963	stof;zulke;gebeurtenissen
vernielen/simo001onsc01_01.meta/26996	beval;tuin
vernield/post003land01_01.meta/65716	veranderingen
vernielen/woen003lant04_01.meta/14353	intusschen;hetgeen
vernyelt/coor001datd02_01.meta/11620	vyanden;heure;eyghen
vernietigen/vond001dewe08_01.meta/399527	toon;wou
vernield/hart038besc01_01.meta/203175	wooning
vernield/woen003lant02_01.meta/18679	franschen;voren
vernielen/sucq002wech01_01.meta/18509	macht;dese;verlaten
vernietigen/vond001dewe07_01.meta/167695	doot
vernietigen/vond001dewe06_01.meta/387309	
vernielen/swaa003kodd01_01.meta/56471	leeft
vernielde/vond001dewe09_01.meta/80589	doot;verslagen;vyanden;zulx;gansche
vernielt/coor001vree01_01.meta/44260	dese;leere;stort
vernietigen/vond001dewe08_01.meta/235074	vorsten;oogenblik
vernielt/vond001dewe08_01.meta/138027	zwaert;ouderdom;lez
vernielen/hond001dape02_01.meta/79478	
vernielen/swaa003kodd01_01.meta/12948	prys
vernietigen/vond001dewe06_01.meta/217822	val;brengen
vernield/post003rein01_01.meta/22533	slaan
vernielen/over001gees02_01.meta/10050	plat;steden;bergen
vernietigd/_den001denk08_01.meta/33789	geslooten
vernietigden/vond001dewe06_01.meta/486876	bederf
vernietigd/stij003opko01_01.meta/116431	daardoor;werden;zonder;welhaast;moed;geheel
vernield/post003rein01_01.meta/193755	vonden
vernietigen/stij003opko01_01.meta/23638	schulden;ontwerp
vernietigen/koel003vruc01_01.meta/2771	pro
vernield/wolf016corn02_01.meta/67001	kunt;fortuin
vernielde/_den001denk10_01.meta/14790	gevormd
vernielde/post003land01_01.meta/73289	steden;bergen
vernielen/vond001dewe06_01.meta/136054	weiden;bederven
vernielde/nass008gesc01_01.meta/27442	
vernielt/vond001dewe06_01.meta/435659	vloot
vernielt/post003rein01_01.meta/226748	oogenblik
vernielt/vond001dewe09_01.meta/186154	stam
vernietigt/vond001dewe09_01.meta/345596	
vernielen/coor001toet02_01.meta/13859	list;soeckt
vernietigde/stij003opko01_01.meta/24363	besluiten;onderworpen
vernielen/brun001embl02_01.meta/93111	dickwils;knecht
vernietigen/vond001dewe01_01.meta/79557	
vernietigen/vond001dewe06_01.meta/588787	wallen
vernietigt/_den001denk10_01.meta/121790	onzer;legt
vernielt/mart021kate01_01.meta/258523	tuin;vogelen
vernietigen/brun002wets01_01.meta/122692	natuur;brengt
vernielen/coor001oogh01_01.meta/10300	valsche;bloedt;storten;leere
vernielt/swaa003herb01_01.meta/207230	eêr;pogingen
vernielen/swaa003kodd01_01.meta/55197	wagt
vernielen/post003rein01_01.meta/206438	nogthans;fortuin
vernielen/vond001dewe06_01.meta/261967	speer
vernietigd/pety002jmer01_01.meta/19586	werd
vernielen/coor001toet02_01.meta/46837	verkeerde;omme;steden;vesten
vernielt/vond001dewe01_01.meta/73097	doot;stonden
vernielen/vond001dewe07_01.meta/581571	
vernielen/effe001holl03_01.meta/18891	alles;maak
vernield/hart038besc01_01.meta/77279	put
vernietigd/vond001dewe08_01.meta/477700	
vernield/hart038besc01_01.meta/121923	
verniel/_den001denk10_01.meta/150965	
vernietigen/_den001denk03_01.meta/136582	besten;zonder
vernietigen/kink001post01_01.meta/19036	zoeken;voornemen
vernielen/mart021kate01_01.meta/57158	offeren
verniele/vond001dewe05_01.meta/386319	endt;bruiloft;ramp
vernielen/post003rein01_01.meta/215587	soorten
vernietigt/corv001toon01_01.meta/66083	zulks;beschouwd;word
vernield/woen003lant01_01.meta/14736	zwaare;insecten;vervullen
vernielen/coor001cort02_01.meta/6263	omme;dese
vernietigd/_alg004alge01_01.meta/115092	
vernielde/_den001denk08_01.meta/857	voortbrengen;schepen;stormen;geweldige
vernielt/coor001vree01_01.meta/70331	self;dese
vernielen/brun002wets01_01.meta/6558	turksche;leger
vernielt/bidl001brie01_01.meta/18035	
vernielen/vond001dewe07_01.meta/353909	zwaert;poort;wal
vernield/hart038besc01_01.meta/317378	soldaaten;voorheen;capitein
vernielen/coor001oors02_01.meta/46957	opdat
vernielen/coor001toet02_01.meta/16864	du
vernield/wolf016corn03_01.meta/107717	vond
vernielen/_tem002temp01_01.meta/4434	voorheen
